"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"111439","생활서비스시설_공원_0050","ZON216","생활서비스시설_공원"," "," ","어린이공원(낙산)"," ","",""
"111440","생활서비스시설_공원_0052","ZON216","생활서비스시설_공원"," "," ","어린이공원(감나무골)"," ","",""
"111441","생활서비스시설_공원_0054","ZON216","생활서비스시설_공원"," "," ","소공원(통인동쉼터)"," ","",""
"111442","생활서비스시설_공원_0055","ZON216","생활서비스시설_공원"," "," ","소공원(신교동쉼터)"," ","",""
"111443","생활서비스시설_공원_0057","ZON216","생활서비스시설_공원"," "," ","마을마당(인사동)"," ","",""
"111444","생활서비스시설_공원_0058","ZON216","생활서비스시설_공원"," "," ","소공원(신설동쉼터)"," ","",""
"111445","생활서비스시설_공원_0060","ZON216","생활서비스시설_공원"," "," ","마을마당(동숭동)"," ","",""
"111446","생활서비스시설_공원_0061","ZON216","생활서비스시설_공원"," "," ","소공원(창신2동쉼터)"," ","",""
"111447","생활서비스시설_공원_0063","ZON216","생활서비스시설_공원"," "," ","도시자연공원(인왕산<시공원>)"," ","",""
"111448","생활서비스시설_공원_0064","ZON216","생활서비스시설_공원"," "," ","소공원(평창동쉼터)"," ","",""
"111449","생활서비스시설_공원_0066","ZON216","생활서비스시설_공원"," "," ","근린공원(내수2)"," ","",""
"111450","생활서비스시설_공원_0069","ZON216","생활서비스시설_공원"," "," ","근린공원(내수1)"," ","",""
"111451","생활서비스시설_공원_0071","ZON216","생활서비스시설_공원"," "," ","소공원(명륜3쉼터2)"," ","",""
"111452","생활서비스시설_공원_0073","ZON216","생활서비스시설_공원"," "," ","근린공원(마로니에)"," ","",""
"111453","생활서비스시설_공원_0076","ZON216","생활서비스시설_공원"," "," ","어린이공원(보신각)"," ","",""
"111454","생활서비스시설_공원_0079","ZON216","생활서비스시설_공원"," "," ","소공원(연건동쉼터)"," ","",""
"111455","생활서비스시설_공원_0080","ZON216","생활서비스시설_공원"," "," ","어린이공원(옥인)"," ","",""
"111456","생활서비스시설_공원_0081","ZON216","생활서비스시설_공원"," "," ","어린이공원(새마을)"," ","",""
"111457","생활서비스시설_공원_0082","ZON216","생활서비스시설_공원"," "," ","어린이공원(창신)"," ","",""
"111458","생활서비스시설_공원_0083","ZON216","생활서비스시설_공원"," "," ","마을마당(통의동)"," ","",""
"111459","생활서비스시설_공원_0084","ZON216","생활서비스시설_공원"," "," ","어린이공원(덕수)"," ","",""
"111460","생활서비스시설_공원_0086","ZON216","생활서비스시설_공원"," "," ","소공원(홍지동쉼터)"," ","",""
"111461","생활서비스시설_공원_0089","ZON216","생활서비스시설_공원"," "," ","소공원(사직동쉼터)"," ","",""
"111462","생활서비스시설_공원_0090","ZON216","생활서비스시설_공원"," "," ","근린공원(수송)"," ","",""
"111463","생활서비스시설_공원_0093","ZON216","생활서비스시설_공원"," "," ","어린이공원(명륜)"," ","",""
"111464","생활서비스시설_공원_0094","ZON216","생활서비스시설_공원"," "," ","광장(우정총국주변시민광장)"," ","",""
"111465","생활서비스시설_공원_0096","ZON216","생활서비스시설_공원"," "," ","마을마당(청운동)"," ","",""
"111466","생활서비스시설_공원_0098","ZON216","생활서비스시설_공원"," "," ","소공원(부암동2쉼터)"," ","",""
"111467","생활서비스시설_공원_0099","ZON216","생활서비스시설_공원"," "," ","소공원(창성동쉼터)"," ","",""
"111468","생활서비스시설_공원_0001","ZON216","생활서비스시설_공원"," "," ","강변공원(강서지구)"," ","",""
"111469","생활서비스시설_공원_0003","ZON216","생활서비스시설_공원"," "," ","도시자연공원((청계산)<서울대공원>)"," ","",""
"111470","생활서비스시설_공원_0004","ZON216","생활서비스시설_공원"," "," ","기타공원(용산공원)"," ","",""
"111471","생활서비스시설_공원_0005","ZON216","생활서비스시설_공원"," "," ","강변공원(광나루지구)"," ","",""
"111472","생활서비스시설_공원_0006","ZON216","생활서비스시설_공원"," "," ","강변공원(난지지구)"," ","",""
"111473","생활서비스시설_공원_0009","ZON216","생활서비스시설_공원"," "," ","강변공원((뚝섬지구))"," ","",""
"111474","생활서비스시설_공원_0013","ZON216","생활서비스시설_공원"," "," ","근린공원(매화)"," ","",""
"111475","생활서비스시설_공원_0014","ZON216","생활서비스시설_공원"," "," ","근린공원(중마루)"," ","",""
"111476","생활서비스시설_공원_0017","ZON216","생활서비스시설_공원"," "," ","근린공원(영등포)"," ","",""
"111477","생활서비스시설_공원_0044","ZON216","생활서비스시설_공원"," "," ","근린공원(어린이대공원)"," ","",""
"111478","생활서비스시설_공원_0046","ZON216","생활서비스시설_공원"," "," ","소공원(누하동쉼터)"," ","",""
"111479","생활서비스시설_공원_0049","ZON216","생활서비스시설_공원"," "," ","광장(무궁화동산)"," ","",""
"111480","생활서비스시설_공원_0051","ZON216","생활서비스시설_공원"," "," ","어린이공원(서린)"," ","",""
"111481","생활서비스시설_공원_0053","ZON216","생활서비스시설_공원"," "," ","소공원(무악동쉼터)"," ","",""
"111482","생활서비스시설_공원_0056","ZON216","생활서비스시설_공원"," "," ","소공원(통의동쉼터)"," ","",""
"111483","생활서비스시설_공원_0059","ZON216","생활서비스시설_공원"," "," ","어린이공원(무악)"," ","",""
"111484","생활서비스시설_공원_0062","ZON216","생활서비스시설_공원"," "," ","소공원(숭인동쉼터)"," ","",""
"111485","생활서비스시설_공원_0065","ZON216","생활서비스시설_공원"," "," ","근린공원(원서)"," ","",""
"111486","생활서비스시설_공원_0067","ZON216","생활서비스시설_공원"," "," ","어린이공원(후창)"," ","",""
"111487","생활서비스시설_공원_0068","ZON216","생활서비스시설_공원"," "," ","근린공원(경희궁<시공원>)"," ","",""
"111488","생활서비스시설_공원_0070","ZON216","생활서비스시설_공원"," "," ","근린공원(숭인)"," ","",""
"111489","생활서비스시설_공원_0072","ZON216","생활서비스시설_공원"," "," ","소공원(명륜3쉼터1)"," ","",""
"111490","생활서비스시설_공원_0074","ZON216","생활서비스시설_공원"," "," ","근린공원(삼청<시공원>)"," ","",""
"111491","생활서비스시설_공원_0075","ZON216","생활서비스시설_공원"," "," ","광장(종묘광장)"," ","",""
"111492","생활서비스시설_공원_0077","ZON216","생활서비스시설_공원"," "," ","어린이공원(지봉골)"," ","",""
"111493","생활서비스시설_공원_0078","ZON216","생활서비스시설_공원"," "," ","근린공원(와룡<시공원>)"," ","",""
"111494","생활서비스시설_공원_0085","ZON216","생활서비스시설_공원"," "," ","근린공원(경복)"," ","",""
"111495","생활서비스시설_공원_0087","ZON216","생활서비스시설_공원"," "," ","소공원(부암동쉼터)"," ","",""
"111496","생활서비스시설_공원_0088","ZON216","생활서비스시설_공원"," "," ","근린공원(탑골)"," ","",""
"111497","생활서비스시설_공원_0022","ZON216","생활서비스시설_공원"," "," ","근린공원((응봉))"," ","",""
"111498","생활서비스시설_공원_0023","ZON216","생활서비스시설_공원"," "," ","근린공원(선유도공원)"," ","",""
"111499","생활서비스시설_공원_0024","ZON216","생활서비스시설_공원"," "," ","근린공원(샛마을)"," ","",""
"111500","생활서비스시설_공원_0025","ZON216","생활서비스시설_공원"," "," ","근린공원(푸른수목원)"," ","",""
"111501","생활서비스시설_공원_0026","ZON216","생활서비스시설_공원"," "," ","근린공원(독립)"," ","",""
"111502","생활서비스시설_공원_0027","ZON216","생활서비스시설_공원"," "," ","근린공원(보라매)"," ","",""
"111503","생활서비스시설_공원_0028","ZON216","생활서비스시설_공원"," "," ","강변공원(이촌지구)"," ","",""
"111504","생활서비스시설_공원_0030","ZON216","생활서비스시설_공원"," "," ","강변공원(양화지구)"," ","",""
"111505","생활서비스시설_공원_0031","ZON216","생활서비스시설_공원"," "," ","강변공원(뚝섬지구)"," ","",""
"111506","생활서비스시설_공원_0032","ZON216","생활서비스시설_공원"," "," ","근린공원(문정동근린공원)"," ","",""
"111507","생활서비스시설_공원_0267","ZON216","생활서비스시설_공원"," "," ","어린이공원(구둘)"," ","",""
"111508","생활서비스시설_공원_0268","ZON216","생활서비스시설_공원"," "," ","어린이공원(한아름)"," ","",""
"111509","생활서비스시설_공원_0269","ZON216","생활서비스시설_공원"," "," ","어린이공원(푸른동산)"," ","",""
"111510","생활서비스시설_공원_0270","ZON216","생활서비스시설_공원"," "," ","어린이공원(구의가로휴식)"," ","",""
"111511","생활서비스시설_공원_0091","ZON216","생활서비스시설_공원"," "," ","근린공원(동묘)"," ","",""
"111512","생활서비스시설_공원_0092","ZON216","생활서비스시설_공원"," "," ","근린공원(종묘)"," ","",""
"111513","생활서비스시설_공원_0095","ZON216","생활서비스시설_공원"," "," ","광장(세종로광장)"," ","",""
"111514","생활서비스시설_공원_0097","ZON216","생활서비스시설_공원"," "," ","어린이공원(경학)"," ","",""
"111515","생활서비스시설_공원_0100","ZON216","생활서비스시설_공원"," "," ","소공원(효자동쉼터)"," ","",""
"111516","생활서비스시설_공원_0102","ZON216","생활서비스시설_공원"," "," ","근린공원(연지)"," ","",""
"111517","생활서비스시설_공원_0103","ZON216","생활서비스시설_공원"," "," ","어린이공원(참샘골)"," ","",""
"111518","생활서비스시설_공원_0105","ZON216","생활서비스시설_공원"," "," ","어린이공원(당고개)"," ","",""
