위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.45997373,126.9150699,노외,12,공영,난향동제1공영주차장
37.48397331,126.9179928,노외,12,공영,신사동제3공영주차장
37.48388151,126.9199755,노외,18,공영,신사동제2공영주차장
37.46205365,126.9155924,노외,22,공영,난향공영주차장
37.5282536,126.907755,노외,31,공영,당산2동 공영주차장
37.502098,126.904818,노외,26,공영,신길5동공영주차장
37.4756463,126.9771048,노외,26,공영,남현동제2공영주차장
37.47106455,126.9697838,노외,7,공영,인헌동제2공영주차장
37.473655,126.9672678,노외,6,공영,인헌동제1공영주차장
37.49758669,126.9005833,노외,99,공영,대림3동공영주차장
37.516205,126.8878482,노외,52,공영,문래동 공영주차장
37.64743,127.0344,부설,4,민영,홍일주차장
37.66038,127.04249,노외,21,민영,바로선병원주차장
37.67277,127.03855,노외,12,민영,텃골주차장
37.67001,127.04169,노외,27,민영,인봉주차장
37.66303,127.01976,노외,4,민영,신운중기
37.68103,127.04576,노외,206,민영,도봉전철
37.67883,127.04029,노외,25,민영,서울사다리조합
37.67167,127.04335,노외,7,민영,기현주차장
37.68768,127.04346,노외,23,민영,새동네주차장
37.66185,127.02359,노외,23,민영,방학주차장
37.66974,127.03699,노외,7,민영,인터넷익스프레스
37.65644,127.02849,노외,24,민영,261주차장
37.6463,127.03294,노외,50,민영,쌍문주차장
37.64763,127.0338,노외,16,민영,쌍문화주차장
37.64824,127.03325,노외,9,민영,한양주차장
37.67609,127.04514,노외,28,민영,오토주차장
37.6598746,127.0418585,노외,10,민영,아비스주차장
37.6917773,127.0454336,노외,11,민영,도봉동 364-1 음식점 주차장
37.6905685,127.0412505,노외,6,민영,도봉동 352-0 주차장
37.67646,127.03277,노외,49,민영,무수골주말농장
37.6803234,127.045755,노외,72,공영,도봉2동제4공영주차장
37.6803234,127.045755,노외,28,공영,도봉2동제3공영주차장
37.6782118,127.0373805,노외,11,공영,도봉1동제3공영주차장
37.64945,127.03584,노외,11,민영,쌍문주차장
37.56962857,126.9838974,노상,13,공영,종각뒤
37.64925,127.02934,노외,32,공영,쌍문3동제2공영주차장
37.64113,127.03532,노외,12,공영,창2동제2공영주차장
37.67228,127.04442,노외,58,공영,도봉2동제2공영주차장
37.66582,127.03917,노외,9,공영,방학1동제2공영주차장
37.67415,127.042,노외,135,공영,화학부대공영주차장
37.66448,127.03396,노외,81,공영,도깨비시장공영주차장
37.66667,127.03375,노외,34,공영,방학2동제4공영주차장
37.65249,127.0396,노외,9,공영,창5동제1공영주차장
37.67488,127.04252,노외,19,공영,도봉1동제1공영주차장
37.63287,127.04153,노외,80,공영,창3동제1공영주차장
37.6681362,127.0471805,노상,17,공영,도봉월드상가공영주차장
37.63841,127.0375,노외,18,공영,창2동제3공영주차장
37.647025,127.037192,노외,42,공영,창1동제1공영주차장
37.65052,127.03459,노외,8,공영,쌍문3동제1공영주차장
37.66938,127.04284,노외,18,공영,방학1동제1공영주차장
37.6708113,127.0393217,노외,28,공영,방학2동제5공영주차장
37.6803234,127.045755,노외,23,공영,도봉구견인보관소
37.6837626,127.046313,노외,13,공영,도봉2동제6공영주차장
37.6803234,127.045755,노외,9,공영,도봉2동제5공영주차장
37.6896638,127.0448008,노외,364,공영,도봉산역 환승주차장
37.6875981,127.0406266,노외,194,공영,도봉산 주차장
37.6900054,127.0432522,노외,190,공영,도봉권역 공영차고지
37.66553,127.03361,노외,30,공영,방학2동제2공영주차장
37.67385,127.04648,노외,164,공영,도봉2동법조1타운공영주차장
37.67425,127.04625,노외,64,공영,도봉2동법조2타운공영주차장
37.65319,127.03353,노외,18,공영,쌍문2동제2공영주차장
37.64858,127.02577,노외,11,공영,쌍문1동제2공영주차장
37.65128,127.03355,노외,14,공영,쌍문2동제1공영주차장
37.6533,127.02226,노외,29,공영,쌍문1동제1공영주차장
37.65208,127.03084,노외,12,공영,쌍문4동제1공영주차장
37.66721,127.03463,노외,20,공영,방학2동제1공영주차장
37.66807,127.03163,노외,23,공영,방학2동제3공영주차장
37.66107,127.03869,노외,37,공영,쌍문2동제3공영주차장
37.64129,127.03647,노외,82,공영,창2동제4공영주차장
37.64896,127.04336,노외,19,공영,창2동제1공영주차장
37.6522104,127.0458531,노외,124,공영,창동역 서측 주차장
37.6540342,127.048434,노외,534,공영,창동역 동측 주차장
37.6610954,127.0406278,노외,17,공영,쌍문2동제4공영주차장
37.5135223855,126.9362503185,노상,8,공영,반려견공원앞
37.491638,126.92282,노상,29,공영,보라매병원앞
37.5138154771,126.94125,노외,13,공영,노량진 공영주차장
37.4827943472,126.97424,노외,80,공영,남성역 공영주차장
37.626781,127.0365899,노외,20,공영,번2동주차장
37.62607275,127.0134713,노외,87,공영,구세군길주차장
37.611602,127.033569,노외,53,공영,송중동주차장
37.620104,127.020227,노외,47,공영,대지시장길주차장
37.614536,127.025126,노외,59,공영,송천동주차장
37.65671363,127.0115911,노외,82,공영,우이동주차장
37.4769453657,126.979,노외,25,공영,사당2호 공영주차장
37.47744293,126.98129,노외,40,공영,사당1호 공영주차장
37.5145306283,126.95243015,노외,20,공영,노들나루공원
37.487701,126.98013,노외,18,공영,남성사계시장
37.493424,126.93355,노외,64,공영,빙수골장미
37.512529,126.93994,노외,86,공영,노량진청사 공영주차장
37.503643,126.97869,노외,147,공영,동작주차공원
37.499808,126.93525,노외,61,공영,도화
37.488794,126.90784,노외,63,공영,서광
37.498725,126.92748,노외,20,공영,구릉
37.500189,126.92658,노외,39,공영,대방생태
37.508318,126.96281,노외,46,공영,흑석빗물펌프장
37.560291,126.8575623,노외,56,공영,가양3동
37.4665283,126.8854333,노상,39,공영,가산동 금천교
37.4936301,126.8808756,노상,18,공영,가마산고가밑
37.5682336,127.0087238,노상,4,공영,DDP북측 마장로
37.5659142,127.0083832,노상,20,공영,DDP동측(양쪽)
37.5715089,126.8394353,노외,38,공영,가양라이품
37.450852,126.909673,노외,5,민영,은행나무 주차장
37.470584,126.898553,노외,66,민영,새울주차장
37.46943,126.899401,노외,6,민영,문성주차장
