ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
방배3동,서초구,32,0.07,0.503,1.0,0.842,0.921,0.734,0.904,87.5
방배4동,서초구,14,0.117,0.453,1.0,0.706,0.767,0.893,0.95,100.0
방배본동,서초구,10,0.087,0.309,1.0,0.58,0.791,0.75,0.912,100.0
방이1동,송파구,9,0.064,0.0,0.0,0.585,0.822,1.0,0.987,0.0
방이2동,송파구,10,0.282,0.0,0.0,0.852,0.73,1.0,0.968,0.0
방학1동,도봉구,12,0.111,0.466,1.0,0.78,0.765,0.833,0.954,100.0
방학2동,도봉구,14,0.036,0.663,1.0,0.928,0.781,0.964,0.958,100.0
방학3동,도봉구,29,0.051,0.454,1.0,0.793,0.946,0.69,0.904,86.207
방화1동,강서구,22,0.15,0.661,1.0,0.798,0.842,1.0,0.979,100.0
방화2동,강서구,86,0.11,0.776,1.0,0.92,0.943,0.919,0.961,98.837
방화3동,강서구,36,0.0,0.716,1.0,0.853,0.957,0.917,0.961,100.0
번1동,강북구,9,0.0,0.364,1.0,0.767,0.56,0.889,0.95,100.0
번2동,강북구,13,0.0,0.479,1.0,0.868,0.869,0.692,0.907,92.308
번3동,강북구,15,0.0,0.55,1.0,0.891,0.952,0.7,0.909,86.667
보광동,용산구,9,0.025,0.476,1.0,0.879,0.654,0.778,0.943,100.0
보라매동,관악구,11,0.088,0.4,1.0,0.852,0.65,0.818,0.942,100.0
보문동,성북구,7,0.048,0.36,1.0,0.9,0.528,0.786,0.92,85.714
부암동,종로구,31,0.029,0.318,1.0,0.895,0.894,0.452,0.843,67.742
북가좌1동,서대문구,7,0.031,0.594,1.0,0.789,0.84,0.929,0.961,100.0
북가좌2동,서대문구,13,0.106,0.438,1.0,0.904,0.66,0.808,0.927,100.0
북아현동,서대문구,7,0.18,0.277,1.0,0.756,0.502,0.786,0.923,100.0
불광1동,은평구,42,0.117,0.534,1.0,0.876,0.892,0.726,0.906,88.095
불광2동,은평구,20,0.086,0.385,1.0,0.868,0.729,0.675,0.904,95.0
사근동,성동구,16,0.177,0.402,1.0,0.533,0.838,0.938,0.965,100.0
사당1동,동작구,7,0.155,0.317,1.0,0.933,0.573,0.643,0.885,100.0
사당2동,동작구,38,0.197,0.513,1.0,0.889,0.91,0.671,0.894,86.842
사당3동,동작구,15,0.053,0.387,1.0,0.736,0.776,0.7,0.908,86.667
사당4동,동작구,6,0.049,0.378,1.0,0.896,0.69,0.667,0.902,100.0
사당5동,동작구,10,0.033,0.516,1.0,0.86,0.833,0.75,0.921,90.0
사직동,종로구,18,0.259,0.322,1.0,0.624,0.808,0.778,0.926,94.444
삼각산동,강북구,7,0.066,0.573,1.0,0.811,0.838,0.929,0.93,100.0
삼선동,성북구,15,0.116,0.413,1.0,0.756,0.634,0.933,0.946,100.0
삼성1동,강남구,27,0.453,0.251,0.444,0.651,0.911,0.852,0.946,40.741
삼성2동,강남구,16,0.215,0.332,0.562,0.757,0.839,0.906,0.957,56.25
삼성동,관악구,37,0.054,0.346,1.0,0.916,0.866,0.514,0.862,70.27
삼양동,강북구,13,0.065,0.374,1.0,0.868,0.624,0.769,0.921,92.308
삼전동,송파구,14,0.15,0.0,0.0,0.867,0.714,0.929,0.962,0.0
삼청동,종로구,20,0.063,0.565,1.0,0.86,0.883,0.8,0.928,95.0
상계10동,노원구,13,0.034,0.595,1.0,0.647,0.943,1.0,0.97,100.0
상계1동,노원구,73,0.144,0.591,1.0,0.919,0.965,0.719,0.901,80.822
상계2동,노원구,8,0.159,0.522,1.0,0.747,0.724,1.0,0.969,100.0
상계3·4동,노원구,70,0.064,0.462,1.0,0.972,0.912,0.579,0.871,75.714
상계5동,노원구,12,0.049,0.42,1.0,0.819,0.77,0.792,0.916,83.333
상계6·7동,노원구,21,0.181,0.603,1.0,0.674,0.952,0.976,0.965,100.0
상계8동,노원구,9,0.067,0.583,1.0,0.723,0.958,0.889,0.954,100.0
상계9동,노원구,9,0.06,0.684,1.0,0.732,0.952,1.0,0.973,100.0
상도1동,동작구,20,0.204,0.283,1.0,0.724,0.741,0.6,0.891,75.0
상도2동,동작구,11,0.095,0.522,1.0,0.859,0.659,0.955,0.969,100.0
상도3동,동작구,9,0.082,0.446,1.0,0.922,0.619,0.778,0.94,100.0
상도4동,동작구,12,0.073,0.333,1.0,0.942,0.603,0.667,0.898,91.667
상봉1동,중랑구,12,0.056,0.502,1.0,0.747,0.796,0.875,0.962,100.0
상봉2동,중랑구,8,0.136,0.48,1.0,0.776,0.657,1.0,0.98,100.0
상암동,마포구,120,0.298,0.62,1.0,0.892,0.97,0.746,0.924,91.667
상일1동,강동구,22,0.0,0.729,1.0,0.869,0.96,0.909,0.951,100.0
상일2동,강동구,15,0.0,0.819,1.0,0.891,0.979,0.967,0.972,100.0
서강동,마포구,20,0.129,0.553,1.0,0.833,0.854,0.8,0.931,95.0
서교동,마포구,22,0.766,0.405,1.0,0.784,0.679,0.818,0.945,100.0
서림동,관악구,14,0.062,0.473,1.0,0.917,0.741,0.786,0.917,92.857
서빙고동,용산구,39,0.037,0.657,1.0,0.848,0.919,0.859,0.948,100.0
서원동,관악구,10,0.173,0.369,1.0,0.774,0.667,0.8,0.912,90.0
서초1동,서초구,20,0.19,0.355,0.75,0.638,0.861,0.925,0.945,75.0
서초2동,서초구,17,0.283,0.079,0.353,0.424,0.917,0.794,0.928,35.294
서초3동,서초구,43,0.429,0.386,0.977,0.647,0.906,0.767,0.918,81.395
서초4동,서초구,11,0.288,0.331,1.0,0.441,0.928,0.864,0.937,100.0
석관동,성북구,22,0.107,0.53,1.0,0.813,0.728,0.955,0.961,100.0
석촌동,송파구,11,0.161,0.0,0.0,0.894,0.7,0.955,0.971,0.0
성내1동,강동구,8,0.102,0.324,0.625,0.689,0.81,0.938,0.972,62.5
성내2동,강동구,9,0.122,0.429,1.0,0.715,0.626,1.0,0.98,100.0
성내3동,강동구,9,0.145,0.324,0.556,0.81,0.733,0.889,0.972,55.556
성북동,성북구,37,0.077,0.393,1.0,0.939,0.834,0.581,0.872,78.378
성산1동,마포구,10,0.077,0.383,1.0,0.837,0.72,0.7,0.903,90.0
성산2동,마포구,27,0.143,0.562,1.0,0.807,0.894,0.833,0.94,96.296
성수1가1동,성동구,27,0.082,0.657,1.0,0.85,0.884,0.889,0.959,100.0
성수1가2동,성동구,11,0.122,0.569,1.0,0.859,0.753,0.909,0.961,100.0
성수2가1동,성동구,14,0.109,0.466,1.0,0.739,0.752,0.821,0.955,100.0
성수2가3동,성동구,15,0.209,0.337,1.0,0.476,0.781,0.933,0.962,100.0
성현동,관악구,10,0.061,0.366,1.0,0.806,0.763,0.65,0.904,90.0
세곡동,강남구,88,0.154,0.0,0.0,0.96,0.97,0.807,0.93,0.0
소공동,중구,14,0.287,0.256,1.0,0.322,0.893,0.929,0.971,100.0
송정동,성동구,9,0.026,0.503,1.0,0.793,0.751,0.889,0.958,100.0
송중동,강북구,15,0.143,0.349,1.0,0.839,0.645,0.733,0.917,93.333
송천동,강북구,12,0.095,0.377,1.0,0.896,0.537,0.833,0.945,100.0
송파1동,송파구,10,0.124,0.0,0.0,0.79,0.716,0.95,0.955,0.0
송파2동,송파구,7,0.07,0.0,0.0,0.656,0.854,1.0,0.979,0.0
수궁동,구로구,36,0.064,0.589,1.0,0.788,0.918,0.875,0.939,97.222
수색동,은평구,14,0.045,0.44,1.0,0.889,0.861,0.643,0.897,85.714
수서동,강남구,24,0.114,0.0,0.0,0.864,0.969,0.896,0.952,0.0
수유1동,강북구,23,0.0,0.436,1.0,0.902,0.796,0.696,0.899,86.957
수유2동,강북구,8,0.0,0.425,1.0,0.835,0.58,0.938,0.956,100.0
수유3동,강북구,9,0.0,0.414,1.0,0.836,0.513,1.0,0.969,100.0
숭인1동,종로구,3,0.018,0.328,1.0,0.767,0.534,0.833,0.947,100.0
숭인2동,종로구,6,0.06,0.349,1.0,0.728,0.567,0.917,0.952,100.0
시흥1동,금천구,21,0.135,0.447,1.0,0.704,0.771,0.905,0.957,100.0
시흥2동,금천구,16,0.033,0.273,1.0,0.772,0.959,0.438,0.848,75.0
시흥3동,금천구,18,0.029,0.515,1.0,0.78,0.905,0.806,0.93,100.0
시흥4동,금천구,12,0.027,0.533,1.0,0.883,0.792,0.833,0.932,91.667
시흥5동,금천구,21,0.04,0.543,1.0,0.893,0.823,0.81,0.914,85.714
신길1동,영등포구,11,0.081,0.462,1.0,0.866,0.658,0.864,0.951,100.0
신길3동,영등포구,6,0.042,0.575,1.0,0.883,0.674,1.0,0.98,100.0
신길4동,영등포구,5,0.017,0.609,1.0,0.938,0.666,1.0,0.98,100.0
신길5동,영등포구,6,0.027,0.562,1.0,0.844,0.69,1.0,0.984,100.0
신길6동,영등포구,9,0.085,0.477,1.0,0.732,0.778,0.889,0.949,100.0
신길7동,영등포구,7,0.062,0.572,1.0,0.744,0.828,0.929,0.968,100.0
신내1동,중랑구,37,0.122,0.612,1.0,0.853,0.928,0.811,0.938,97.297
신내2동,중랑구,13,0.059,0.613,1.0,0.761,0.965,0.885,0.945,92.308
신당5동,중구,4,0.046,0.245,1.0,0.747,0.551,0.625,0.929,100.0
신당동,중구,7,0.131,0.327,1.0,0.622,0.636,0.929,0.955,100.0
신대방1동,동작구,10,0.072,0.436,1.0,0.704,0.744,0.9,0.967,100.0
신대방2동,동작구,14,0.124,0.432,1.0,0.633,0.816,0.893,0.956,100.0
신도림동,구로구,18,0.134,0.544,1.0,0.672,0.863,0.972,0.967,100.0
신림동,관악구,7,0.17,0.297,1.0,0.833,0.576,0.714,0.933,100.0
신사1동,은평구,11,0.079,0.485,1.0,0.908,0.762,0.773,0.921,90.909
신사2동,은평구,15,0.045,0.378,1.0,0.85,0.777,0.667,0.889,86.667
신사동,강남구,29,0.284,0.638,1.0,0.791,0.903,0.914,0.96,100.0
신사동,관악구,9,0.085,0.366,1.0,0.888,0.581,0.778,0.933,100.0
신수동,마포구,11,0.059,0.578,1.0,0.816,0.819,0.909,0.955,100.0
신원동,관악구,7,0.059,0.457,1.0,0.9,0.633,0.857,0.944,100.0
신월1동,양천구,8,0.07,0.404,1.0,0.844,0.623,0.812,0.927,100.0
신월2동,양천구,10,0.035,0.611,1.0,0.798,0.784,1.0,0.979,100.0
신월3동,양천구,12,0.038,0.531,1.0,0.78,0.769,0.958,0.968,100.0
신월4동,양천구,7,0.061,0.591,1.0,0.844,0.772,0.929,0.959,100.0
신월5동,양천구,8,0.032,0.484,1.0,0.708,0.766,0.938,0.968,100.0
신월6동,양천구,6,0.01,0.664,1.0,0.831,0.895,0.917,0.963,100.0
신월7동,양천구,17,0.048,0.724,1.0,0.968,0.894,0.882,0.953,100.0
