h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1d1963ffff,37.649615837394514,127.00941650089545,11305645,우이동,강북구,0.04242788060452547,0.10626919225896168,0.06796440526629996,1.0,1.0,0.9127450980392157,1.0,0.9777736124128887,0.8924580717219602,Green,1.5648409128189087,0,89,낮음,최적
8930e1d9653ffff,37.49419250361696,126.89455761707481,11530550,구로4동,구로구,0.07190026931020754,0.1153648314919244,0.0892860941828943,1.0,0.5333333333333334,0.6980392156862745,1.0,0.9314350960811577,0.3467617194299526,Green,4.827287673950195,6,314,보통,보통
8930e1d94cbffff,37.51567003365949,126.89368114439695,11560605,문래동,영등포구,0.16226999964941355,0.31050671084989756,0.22156468412960717,1.0,0.6888888888888889,0.8254901960784313,1.0,0.9648652002775171,0.5486908814301471,Green,2.4736530780792236,4,182,매우 높음,보통
8930e036eafffff,37.46017046051156,126.93883874677346,11620735,대학동,관악구,0.1035328312312139,0.3064577064441546,0.18470278131639017,1.0,1.0,0.9862745098039216,0.0,0.7827088994488606,0.0,Red,15.29830265045166,0,14,높음,부적합
8930e1c1c73ffff,37.570808517136115,127.09209843193004,11260540,면목4동,중랑구,0.00967069480228226,0.0911763336526054,0.04227295034241152,1.0,0.9222222222222223,1.0,0.0,0.7,0.0,Red,36.239707946777344,1,1,매우 낮음,부적합
8930e1d9343ffff,37.487944324261974,126.93325950619902,11620525,보라매동,관악구,0.07020546559820662,0.11423931953784822,0.08781900717406325,1.0,1.0,0.5284313725490196,1.0,0.9671454693698593,0.5110700078336806,Green,2.3131115436553955,0,481,보통,보통
8930e036d27ffff,37.48406244733059,126.96432823672097,11590651,사당5동,동작구,0.011849147937314085,0.06408148992366607,0.03274208473185488,1.0,0.8444444444444444,0.9774509803921568,0.5,0.9112209183006024,0.3760622626441898,Yellow,6.250459671020508,2,25,매우 낮음,보통
8930e1d91bbffff,37.52007197686984,126.93849469722875,11560540,여의동,영등포구,0.8524466627438526,0.9114962131050943,0.8760664828883493,1.0,0.30000000000000004,0.9754901960784313,0.5,0.9166327984863187,0.13412494624910107,Yellow,5.869438171386719,9,34,매우 높음,낮음
8930e1c1963ffff,37.56451002928214,127.13096779057217,11740580,암사2동,강동구,0.046440270705349576,0.08566720737414069,0.062131045372866026,1.0,1.0,0.9980392156862745,0.5,0.8859892409605843,0.4421260035773896,Yellow,8.026886940002441,0,2,낮음,보통
8930e1d1343ffff,37.62624547919828,126.94454969930531,11380690,진관동,은평구,0.03480133083679544,0.40961785584165966,0.1847279408387411,1.0,1.0,1.0,0.5,0.8721931388553341,0.43609656942766706,Yellow,8.998196601867676,0,0,높음,보통
