admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
11110760,5,614087978.9621071,21740.5514609769,0.4235289767422915
11110760,6,412545957.7426529,10190.426227176951,0.28452790695760555
11110770,1,1107696557.7386518,16888.044380829255,0.2044202839237813
11110770,2,141801021.5437078,7690.908850266269,0.02616872362935168
11110770,3,952591512.4720469,48977.31948370964,0.17579636415992558
11110770,4,510362967.560743,26684.237664051663,0.09418512859328193
11110770,5,1539918794.7310383,55192.53220410011,0.2841849015773119
11110770,6,1166350500.1989694,27617.79175972835,0.21524459811634755
11110780,1,133369495.82628947,3528.7692374485127,0.06644433798571682
11110780,2,61839745.686315194,5598.106220978118,0.030808401410499772
11110780,3,365387184.85951865,28674.88865131249,0.18203495076622944
11110780,4,243744789.52740228,20660.74984366815,0.12143302392557831
11110780,5,732150359.5516682,41471.188184165396,0.36475541610937023
11110780,6,470744855.3634107,18148.08767654605,0.23452386980260542
11110790,1,667056794.3487902,14797.6908917058,0.11538564449016468
11110790,2,126764692.0868919,9732.091423072035,0.02192740680997432
11110790,3,951376557.2201754,61258.3463721382,0.16456649289488356
11110790,4,525855555.77772355,36919.064087343344,0.09096104368651413
11110790,5,2039881941.873946,86484.47812233996,0.35285315214689533
11110790,6,1470171781.8452177,41075.6102801661,0.2543062599715681
11120510,1,453266268.0739652,6945.901397130031,0.11457402868304183
11120510,2,57445468.01586337,4577.094100579903,0.01452073353732615
11120510,3,610502827.5244645,28014.1803517407,0.15431937781095123
11120510,4,350641870.87515086,23966.943659822708,0.08863322642965615
11120510,5,1455372093.9628904,63895.772955342705,0.36788055009421633
11120510,6,1028871063.0867159,29367.80353781353,0.2600720834448083
11120520,1,456595428.38127273,11523.57311551925,0.11144492962288363
11120520,2,158356835.18090636,15186.990716209059,0.03865143024888535
11120520,3,635238520.542511,41595.04065747993,0.1550477902649725
11120520,4,430070011.5305047,26307.417171576126,0.10497065714794541
11120520,5,1419480212.5496168,60534.35619660678,0.34646398661830374
11120520,6,997308807.5971835,29324.621869837814,0.24342120609700943
11120550,1,1394759143.3697062,23783.561714972693,0.22428508470415923
11120550,2,197962171.19926754,17584.91261516804,0.03183342625621919
11120550,3,525537553.71055675,38608.55693509017,0.0845093830784411
11120550,4,414012483.68075883,31172.11115131775,0.06657552697348043
11120550,5,1830807800.9188502,80650.4633175031,0.2944041518982728
11120550,6,1855609643.1656256,42693.572288399504,0.2983924270894272
11120560,1,650551954.0039245,11556.60083929668,0.15015264800215908
11120560,2,120083546.93650529,13144.836965811797,0.02771625301105322
11120560,3,586292330.7457129,45671.59092470496,0.13532100768126412
11120560,4,454210494.2788373,39841.049920166195,0.10483545249012584
11120560,5,1400734764.7770388,76237.18604917088,0.32330090284946716
11120560,6,1120730847.049142,31436.75693356583,0.2586737359659306
11120570,1,48366400.56435826,1255.1286230895773,0.04637462765696646
11120570,2,29980240.930874277,2988.1832164524617,0.028745627005785177
11120570,3,277700668.932277,21041.32577976014,0.26626469969971256
11120570,4,197029520.5431973,18318.28840511667,0.18891566347723387
11120570,5,408131893.39176685,31819.13362552242,0.3913246462446786
11120570,6,81740901.50029242,4568.2454261089715,0.0783747359156233
11120580,1,453452477.53578645,8591.140788138975,0.11174971943946438
11120580,2,88595603.08695915,7283.1434414196465,0.02183367448412823
11120580,3,825657790.8441013,52948.562896901734,0.20347672810444525
11120580,4,485383959.6768821,35777.27104897915,0.1196189766325119
11120580,5,1366481627.7458408,70704.04599065143,0.3367584170002223
11120580,6,838179019.6825475,25510.858989459022,0.2065624843392279
11120590,1,277517265.8937013,3500.388231111978,0.08106365178048389
11120590,2,69788235.57208993,6724.6587076491105,0.02038535947870434
11120590,3,676214811.4867812,41866.82244837776,0.19752443809448086
11120590,4,425719185.7221207,27826.86809470964,0.12435389097868886
11120590,5,1231280662.1354377,57578.68003822288,0.359660889991696
11120590,6,742928694.4820472,20112.902433577943,0.21701176967594601
11120600,1,88632034.7505762,1096.9335647439952,0.15724291062308002
11120600,2,5203461.234243955,253.54199596035522,0.009231508585913005
11120600,3,59135703.16901639,3347.060954248516,0.10491319661346468
11120600,4,56805363.6154048,3474.3246422711436,0.10077891971029797
11120600,5,193936509.3865954,8312.417405254077,0.34406455067681146
11120600,6,159950080.6016959,3520.4058778421445,0.28376891379043295
11120650,1,128220412.39081848,3258.2635854607443,0.06792244928748582
11120650,2,96941394.89429677,4334.200004529769,0.051352954305717916
11120650,3,336884466.0280167,17313.221917826886,0.1784584656441818
11120650,4,202673425.48963317,11207.51204122705,0.10736258921692875
11120650,5,693982583.8172023,28476.821789235193,0.36762474848425664
11120650,6,429044901.6448096,12518.163915654044,0.227278793061429
11120660,1,38099730.98734416,971.0482502003458,0.03615289169308026
11120660,2,9168029.931362031,834.6182836687842,0.00869955730809621
11120660,3,249529846.47764054,13864.84062221683,0.23677924437035325
11120660,4,147003879.14413896,9829.398016702911,0.13949220069102605
11120660,5,425152746.5112498,20791.63638319448,0.40342807676890263
11120660,6,184895935.0286378,6358.173070689867,0.1754480291685416
11120670,1,35691304.58142667,785.9942200728646,0.06491814501382577
11120670,2,27300757.51024901,2066.093756359265,0.04965675970163135
11120670,3,111932473.9144217,6670.182557684393,0.20359156546813567
11120670,4,75301819.58115974,6793.152115199581,0.13696485742688616
11120670,5,197521688.12345237,9914.275865451635,0.35926794336474743
11120670,6,102041303.68708518,3040.567798414994,0.18560072902477354
11120680,1,6192643.152105123,77.50877832331074,0.015794277303569443
11120680,2,7960104.537287996,809.1004303258954,0.020302170711158998
11120680,3,126889687.35946597,7684.887201505473,0.3236309375322802
11120680,4,47234363.06612763,2895.427422159192,0.12047079255168976
11120680,5,158993544.91669622,7573.754596416129,0.4055115200749413
11120680,6,44811107.29878645,751.7528841072096,0.11429030182636032
11120710,1,143452117.66062522,3223.4932147817904,0.0696300192278693
11120710,2,61830995.23622313,5772.655422084449,0.030012058778817383
11120710,3,465573379.6973919,21071.96967559859,0.22598400015959863
11120710,4,348969178.9882968,14941.071773260092,0.169385653130434
11120710,5,707835147.8658475,24320.030425274617,0.3435750950199382
11120710,6,332544236.52277285,9037.933583549135,0.16141317368334254
11120720,1,72339102.14639074,1819.6332255993857,0.025304902092275053
11120720,2,194381509.47964606,18083.545035140993,0.0679964904178244
11120720,3,693113494.8859941,44405.04854528364,0.24245765577005796
11120720,4,543980892.1896553,36090.47626827294,0.19028966089558336
11120720,5,1054447840.8253781,57904.989509750754,0.36885582737120437
11120720,6,300436312.2263832,10891.896085820521,0.1050954634530548
11120730,1,816173352.4198463,15185.559565748552,0.181379604259944
11120730,2,106576958.92828357,6236.972626600942,0.023684780416227572
11120730,3,506305765.04705167,29023.143845661216,0.11251719873785158
11120730,4,381607560.8085452,25257.846140927337,0.08480530288919706
11120730,5,1406174138.4605951,56579.63877250298,0.312496491092679
11120730,6,1282969993.51654,34277.61569724945,0.28511662260410064
11120740,1,224540743.3837744,5247.869382581572,0.058582059184065186
11120740,2,214372921.31205273,17647.119692414977,0.05592930251548774
11120740,3,626520545.996612,45130.754077559155,0.16345747837342625
11120740,4,429486671.0990081,33103.26400393421,0.1120518851319851
11120740,5,1455478428.2841892,80032.4798931912,0.3797302981274262
11120740,6,882527468.381673,31628.426247788495,0.2302489766676096
11130520,1,51225413.69813091,690.1340680571581,0.03832331261185964
11130520,2,27334277.99043507,2137.7233776098315,0.02044961679802187
11130520,3,240176368.01242283,11428.575030226762,0.1796833518526951
11130520,4,133189896.39212787,6838.094591694465,0.09964347123199425
11130520,5,525656284.59136,15676.447958318036,0.39325968628572305
11130520,6,359082316.91638577,6043.2911436710865,0.26864056121970603
11130620,1,70883191.16075031,1546.1796033388518,0.04810602573408685
11130620,2,25591323.424528632,2765.5667919676903,0.017367966129484887
