hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency,robot_time_min,total_delivery_min
구파발역 공영주차장(시),8930e1da19bffff,대조동,Green,3044.3,3.04,35.06563186645508,36.29364013671875,1.2280082702636719,0.22321385212782502,51.14424000000001,20.383272
구파발역 공영주차장(시),8930e1da18bffff,대조동,Green,3248.0,3.25,35.06563186645508,36.8580207824707,1.792388916015625,0.22321385212782502,54.5664,21.61992
구파발역 공영주차장(시),8930e1da18fffff,대조동,Green,3158.0,3.16,35.06563186645508,36.79269790649414,1.7270660400390625,0.22321385212782502,53.054399999999994,21.076319999999996
방화로 공영주차장(시),8930e0aeaa7ffff,화곡1동,Green,2802.1,2.8,13.460981369018555,24.01679801940918,10.555816650390625,0.24237372982047029,47.07528,18.922584
방화로 공영주차장(시),8930e0aebcbffff,화곡1동,Green,3373.4,3.37,13.460981369018555,24.268970489501953,10.807989120483398,0.24237372982047029,56.673120000000004,22.371936
방화로 공영주차장(시),8930e0aebd7ffff,화곡1동,Green,2942.0,2.94,13.460981369018555,26.418354034423828,12.957372665405273,0.24237372982047029,49.4256,19.76768
방화로 공영주차장(시),8930e0aeb57ffff,화곡1동,Green,3728.5,3.73,13.460981369018555,26.91139030456543,13.450408935546875,0.24237372982047029,62.638799999999996,24.521639999999998
방화로 공영주차장(시),8930e0ae86fffff,화곡1동,Green,2651.3,2.65,13.460981369018555,23.965373992919922,10.504392623901367,0.24237372982047029,44.54184,18.012552
경호빌딩앞 노상주차장(구),8930e1d956bffff,여의동,Yellow,682.2,0.68,24.31598472595215,12.372475624084473,-11.943509101867676,0.8760664828883493,28.6524,0.68
경호빌딩앞 노상주차장(구),8930e1d9503ffff,여의동,Green,534.0,0.53,24.31598472595215,20.3867244720459,-3.92926025390625,0.8760664828883493,8.9712,5.221360000000001
경호빌딩앞 노상주차장(구),8930e1d9577ffff,여의동,Green,58.1,0.06,24.31598472595215,23.938125610351562,-0.37785911560058594,0.8760664828883493,0.9760800000000001,2.352824
경호빌딩앞 노상주차장(구),8930e1d9523ffff,여의동,Green,468.2,0.47,24.31598472595215,24.47549819946289,0.1595134735107422,0.8760664828883493,7.86576,4.829727999999999
경호빌딩앞 노상주차장(구),8930e1d9567ffff,여의동,Green,341.8,0.34,24.31598472595215,23.77925682067871,-0.5367279052734375,0.8760664828883493,5.74224,4.062672
세종로 공영주차장(시),8930e1d8cbbffff,종로1·2·3·4가동,Green,367.9,0.37,46.853424072265625,43.86812210083008,-2.985301971435547,0.7590638006572322,6.180719999999999,4.224216
세종로 공영주차장(시),8930e1d8cabffff,종로1·2·3·4가동,Green,551.4,0.55,46.853424072265625,34.502471923828125,-12.3509521484375,0.7590638006572322,9.263519999999998,5.329056
세종로 공영주차장(시),8930e1d8c17ffff,종로1·2·3·4가동,Green,347.1,0.35,46.853424072265625,44.365440368652344,-2.4879837036132812,0.7590638006572322,5.83128,4.099384
세종로 공영주차장(시),8930e1dab2bffff,종로1·2·3·4가동,Green,1836.3,1.84,46.853424072265625,71.35914611816406,24.505722045898438,0.7590638006572322,30.849839999999997,13.094952
세종로 공영주차장(시),8930e1d8507ffff,신촌동,Yellow,2680.3,2.68,46.853424072265625,104.51050567626953,57.657081604003906,0.4257715991107658,112.5726,2.68
