h3_index,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,noise_total,avg_slope,terrain_zone,avg_available_pct,avg_wind_ms
8930e1c00c7ffff,이문2동,동대문구,0.006783768795179123,0.06983294543280229,0.03830835711399071,1.0,1.0,0.8548,0.5,0.9237,0.39478937999999997,0,3447.0,6.756863117218018,Yellow,94.2175,1.8975
8930e1c00d3ffff,석관동,성북구,0.04849180000485427,0.18781530986901449,0.11815355493693439,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,0.2669340670108795,Green,93.1987,2.0389
8930e1c00d7ffff,석관동,성북구,0.04304022714473465,0.18781530986901449,0.11542776850687457,1.0,0.9666666666666667,0.8956,1.0,0.804,0.6960603200000001,2,2478.0,2.5835347175598145,Green,93.1987,2.0389
8930e1c00dbffff,석관동,성북구,0.002532360558418365,0.18781530986901449,0.09517383521371643,1.0,0.5,0.8956,1.0,0.804,0.3600312,30,2478.0,2.0535075664520264,Green,93.1987,2.0389
8930e1c044bffff,장위2동,성북구,0.01283476381041967,0.07748499182815763,0.04515987781928865,1.0,0.55,0.8956,1.0,0.804,0.39603432000000005,27,2478.0,1.0656813383102417,Green,93.1987,2.0389
8930e1c044fffff,장위2동,성북구,0.024411269220332196,0.07748499182815763,0.05094813052424491,1.0,0.8666666666666667,0.8956,1.0,0.804,0.6240540800000001,8,2478.0,1.4733706712722778,Green,93.1987,2.0389
8930e1c0463ffff,석관동,성북구,0.030798944080409386,0.18781530986901449,0.10930712697471194,1.0,0.8,0.8956,1.0,0.804,0.57604992,12,2478.0,1.0959125757217407,Green,93.1987,2.0389
8930e1c0467ffff,석관동,성북구,0.02532558605385916,0.18781530986901449,0.10657044796143682,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,1.3513669967651367,Green,93.1987,2.0389
8930e1c046bffff,석관동,성북구,0.04709094778771043,0.18781530986901449,0.11745312882836245,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,3.299455165863037,Green,93.1987,2.0389
8930e1c046fffff,석관동,성북구,0.051938477396799604,0.18781530986901449,0.11987689363290704,1.0,0.95,0.8956,1.0,0.804,0.6840592799999999,3,2478.0,1.200350046157837,Green,93.1987,2.0389
8930e1c047bffff,장위2동,성북구,0.017759531736853715,0.07748499182815763,0.04762226178250567,1.0,0.85,0.8956,1.0,0.804,0.6120530399999999,9,2478.0,0.3473300337791443,Green,93.1987,2.0389
8930e1c0603ffff,이문1동,동대문구,0.0,0.23032254286096754,0.11516127143048377,1.0,0.8,0.8548,1.0,0.9237,0.631663008,12,3447.0,3.994826555252075,Green,94.2175,1.8975
8930e1c0607ffff,이문1동,동대문구,0.0,0.23032254286096754,0.11516127143048377,1.0,0.8,0.8548,1.0,0.9237,0.631663008,12,3447.0,0.3243602514266968,Green,94.2175,1.8975
8930e1c0613ffff,석관동,성북구,0.0,0.18781530986901449,0.09390765493450724,1.0,1.0,0.8956,0.5,0.804,0.3600312,0,2478.0,7.481043815612793,Yellow,93.1987,2.0389
8930e1c0617ffff,석관동,성북구,0.0004871955401753789,0.18781530986901449,0.09415125270459493,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,2.7273762226104736,Green,93.1987,2.0389
8930e1c0633ffff,이문1동,동대문구,0.0,0.23032254286096754,0.11516127143048377,1.0,0.95,0.8548,0.5,0.9237,0.375049911,3,3447.0,6.38004207611084,Yellow,94.2175,1.8975
8930e1c0683ffff,월곡2동,성북구,0.009927434326771473,0.16072008008398253,0.08532375720537701,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,2.457120418548584,Green,93.1987,2.0389
8930e1c0687ffff,석관동,성북구,0.05776039808623953,0.18781530986901449,0.12278785397762701,1.0,0.85,0.8956,1.0,0.804,0.6120530399999999,9,2478.0,3.0216991901397705,Green,93.1987,2.0389
8930e1c068fffff,석관동,성북구,0.005981678576597708,0.18781530986901449,0.0968984942228061,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,2.652617931365967,Green,93.1987,2.0389
8930e1c0697ffff,월곡2동,성북구,0.0017678992636716323,0.16072008008398253,0.08124398967382708,1.0,0.95,0.8956,1.0,0.804,0.6840592799999999,3,2478.0,0.8225130438804626,Green,93.1987,2.0389
8930e1c06a3ffff,석관동,성북구,0.04121687473014875,0.18781530986901449,0.11451609229958162,1.0,1.0,0.8956,0.5,0.804,0.3600312,0,2478.0,9.217808723449707,Yellow,93.1987,2.0389
8930e1c06a7ffff,석관동,성북구,0.04372084855655148,0.18781530986901449,0.11576807921278298,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,1.8530935049057007,Green,93.1987,2.0389
8930e1c06abffff,석관동,성북구,0.020142036756491854,0.18781530986901449,0.10397867331275316,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,4.490258693695068,Green,93.1987,2.0389
8930e1c06afffff,석관동,성북구,0.025738844059482176,0.18781530986901449,0.10677707696424833,1.0,0.75,0.8956,1.0,0.804,0.5400468,15,2478.0,1.3109980821609497,Green,93.1987,2.0389
8930e1c06b3ffff,석관동,성북구,0.04583268938720329,0.18781530986901449,0.11682399962810888,1.0,0.85,0.8956,1.0,0.804,0.6120530399999999,9,2478.0,2.7654550075531006,Green,93.1987,2.0389
8930e1c06b7ffff,석관동,성북구,0.05165394992008472,0.18781530986901449,0.11973462989454961,1.0,0.9833333333333334,0.8956,1.0,0.804,0.70806136,1,2478.0,1.9602800607681274,Green,93.1987,2.0389
8930e1c06bbffff,석관동,성북구,0.0,0.18781530986901449,0.09390765493450724,1.0,1.0,0.8956,1.0,0.804,0.7200624,0,2478.0,2.856905460357666,Green,93.1987,2.0389
8930e1c3437ffff,삼양동,강북구,0.06456823782168374,0.14314164905968482,0.10385494344068427,1.0,0.30000000000000004,0.9448,0.0,0.7,0.0,54,1311.0,22.305727005004883,Red,92.723,1.1819
8930e1c3503ffff,송천동,강북구,0.0032325637308526656,0.14678449710164382,0.07500853041624825,1.0,0.9333333333333333,0.9448,0.5,0.7,0.30863466666666667,4,1311.0,10.712306022644043,Yellow,92.723,1.1819
8930e1c3507ffff,미아동,강북구,0.001893071183324978,0.1512134432381183,0.07655325721072165,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.2728705406188965,Green,92.723,1.1819
8930e1c350bffff,삼양동,강북구,0.03323400952453948,0.14314164905968482,0.08818782929211215,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.1669883728027344,Green,92.723,1.1819
8930e1c3513ffff,삼양동,강북구,0.06834599263324584,0.14314164905968482,0.10574382084646533,1.0,0.7666666666666667,0.9448,1.0,0.7,0.5070426666666666,14,1311.0,1.5343017578125,Green,92.723,1.1819
8930e1c3517ffff,삼양동,강북구,0.02691314801034496,0.14314164905968482,0.0850273985350149,1.0,0.8,0.9448,1.0,0.7,0.529088,12,1311.0,1.6219528913497925,Green,92.723,1.1819
8930e1c351bffff,삼양동,강북구,0.04877447159128525,0.14314164905968482,0.09595806032548504,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,1.5759319067001343,Green,92.723,1.1819
8930e1c3553ffff,삼각산동,강북구,0.0022545748076107847,0.11968884152158021,0.060971708164595496,1.0,0.3666666666666667,0.9448,1.0,0.7,0.24249866666666664,38,1311.0,3.560192823410034,Green,92.723,1.1819
8930e1c3557ffff,삼각산동,강북구,0.04600238463475488,0.11968884152158021,0.08284561307816754,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.229372024536133,Green,92.723,1.1819
8930e1c358bffff,수유1동,강북구,0.0309173668092787,0.0,0.01545868340463935,1.0,0.9833333333333334,0.9448,1.0,0.7,0.6503373333333333,1,1311.0,3.1637141704559326,Green,92.723,1.1819
8930e1c358fffff,삼양동,강북구,0.054043533697464924,0.14314164905968482,0.09859259137857487,1.0,0.9333333333333333,0.9448,1.0,0.7,0.6172693333333333,4,1311.0,3.203852415084839,Green,92.723,1.1819
8930e1c35a3ffff,수유1동,강북구,0.0005317709925689128,0.0,0.0002658854962844564,1.0,0.7,0.9448,0.5,0.7,0.23147599999999996,18,1311.0,6.388291835784912,Yellow,92.723,1.1819
8930e1c35bbffff,삼양동,강북구,0.018793155929809242,0.14314164905968482,0.08096740249474703,1.0,0.9333333333333333,0.9448,1.0,0.7,0.6172693333333333,4,1311.0,1.747753381729126,Green,92.723,1.1819
