h3_index,상권업종대분류명,store_count
8930e036153ffff,보건의료,2
8930e036153ffff,부동산,3
8930e036153ffff,소매,14
8930e036153ffff,수리·개인,6
8930e036153ffff,시설관리·임대,1
8930e036153ffff,예술·스포츠,2
8930e036153ffff,음식,7
8930e03615bffff,시설관리·임대,1
8930e036163ffff,교육,10
8930e036163ffff,보건의료,3
8930e036163ffff,부동산,4
8930e036163ffff,소매,7
8930e036163ffff,수리·개인,6
8930e036163ffff,시설관리·임대,1
8930e036163ffff,예술·스포츠,1
8930e036163ffff,음식,6
8930e036167ffff,과학·기술,1
8930e036173ffff,과학·기술,2
8930e036173ffff,교육,10
8930e036173ffff,보건의료,4
8930e036173ffff,부동산,1
8930e036173ffff,소매,19
8930e036173ffff,수리·개인,9
8930e036173ffff,시설관리·임대,5
8930e036173ffff,예술·스포츠,5
8930e036173ffff,음식,20
8930e036177ffff,과학·기술,1
8930e036177ffff,소매,1
8930e036177ffff,수리·개인,1
8930e036177ffff,예술·스포츠,2
8930e036177ffff,음식,14
8930e03617bffff,과학·기술,1
8930e03617bffff,교육,8
8930e03617bffff,보건의료,2
8930e03617bffff,부동산,3
8930e03617bffff,소매,5
8930e03617bffff,수리·개인,4
8930e03617bffff,시설관리·임대,1
8930e03617bffff,예술·스포츠,1
8930e036183ffff,과학·기술,1
8930e036183ffff,교육,1
8930e036183ffff,수리·개인,2
8930e036187ffff,과학·기술,9
8930e036187ffff,교육,5
8930e036187ffff,부동산,2
8930e036187ffff,소매,16
8930e036187ffff,수리·개인,7
8930e036187ffff,시설관리·임대,2
8930e036187ffff,예술·스포츠,1
8930e036187ffff,음식,7
8930e03618bffff,과학·기술,1
8930e03618bffff,수리·개인,2
8930e03618bffff,시설관리·임대,1
8930e036193ffff,음식,1
8930e036197ffff,과학·기술,1
8930e036197ffff,교육,4
8930e036197ffff,부동산,2
8930e036197ffff,소매,10
8930e036197ffff,수리·개인,6
8930e036197ffff,음식,4
8930e0361a3ffff,과학·기술,8
8930e0361a3ffff,교육,14
8930e0361a3ffff,보건의료,29
8930e0361a3ffff,부동산,11
8930e0361a3ffff,소매,60
8930e0361a3ffff,수리·개인,28
8930e0361a3ffff,시설관리·임대,1
8930e0361a3ffff,예술·스포츠,13
8930e0361a3ffff,음식,67
8930e0361a7ffff,교육,1
8930e0361a7ffff,소매,3
8930e0361a7ffff,수리·개인,5
8930e0361a7ffff,시설관리·임대,2
8930e0361abffff,과학·기술,5
8930e0361abffff,교육,14
8930e0361abffff,보건의료,8
8930e0361abffff,부동산,4
8930e0361abffff,소매,28
8930e0361abffff,수리·개인,17
8930e0361abffff,시설관리·임대,1
8930e0361abffff,예술·스포츠,11
8930e0361abffff,음식,31
8930e0361afffff,과학·기술,4
8930e0361afffff,교육,3
8930e0361afffff,부동산,1
8930e0361afffff,소매,10
8930e0361afffff,수리·개인,12
8930e0361afffff,시설관리·임대,5
8930e0361afffff,음식,6
8930e0361b3ffff,과학·기술,9
8930e0361b3ffff,교육,20
8930e0361b3ffff,보건의료,9
8930e0361b3ffff,부동산,2
8930e0361b3ffff,소매,50
8930e0361b3ffff,수리·개인,25
8930e0361b3ffff,시설관리·임대,3
8930e0361b3ffff,예술·스포츠,10
8930e0361b3ffff,음식,61
8930e0361b7ffff,과학·기술,4
8930e0361b7ffff,교육,4
8930e0361b7ffff,부동산,1
8930e0361b7ffff,소매,4
8930e0361b7ffff,수리·개인,5
8930e0361b7ffff,시설관리·임대,2
8930e0361bbffff,과학·기술,4
8930e0361bbffff,교육,3
8930e0361bbffff,보건의료,4
8930e0361bbffff,부동산,4
8930e0361bbffff,소매,14
8930e0361bbffff,수리·개인,11
8930e0361bbffff,숙박,1
8930e0361bbffff,시설관리·임대,2
8930e0361bbffff,예술·스포츠,2
8930e0361bbffff,음식,21
8930e0361c3ffff,과학·기술,2
8930e0361c3ffff,소매,2
8930e0361c3ffff,음식,2
8930e0361c7ffff,소매,2
8930e0361cbffff,교육,8
8930e0361cbffff,보건의료,1
8930e0361cbffff,소매,1
8930e0361cbffff,수리·개인,3
8930e0361cbffff,예술·스포츠,2
8930e0361cbffff,음식,4
8930e0361d3ffff,과학·기술,4
8930e0361d3ffff,교육,7
8930e0361d3ffff,부동산,2
8930e0361d3ffff,소매,10
8930e0361d3ffff,수리·개인,7
8930e0361d3ffff,시설관리·임대,2
8930e0361d3ffff,음식,2
8930e0361d7ffff,소매,1
8930e0361d7ffff,음식,1
8930e0361dbffff,과학·기술,5
8930e0361dbffff,교육,2
8930e0361dbffff,보건의료,2
8930e0361dbffff,부동산,2
8930e0361dbffff,소매,21
8930e0361dbffff,수리·개인,12
8930e0361dbffff,시설관리·임대,2
8930e0361dbffff,음식,8
8930e036223ffff,과학·기술,6
8930e036223ffff,교육,6
8930e036223ffff,보건의료,2
8930e036223ffff,부동산,4
8930e036223ffff,소매,15
8930e036223ffff,수리·개인,18
8930e036223ffff,시설관리·임대,5
8930e036223ffff,예술·스포츠,3
8930e036223ffff,음식,11
8930e036227ffff,과학·기술,1
8930e036227ffff,교육,4
8930e036227ffff,부동산,1
8930e036227ffff,소매,3
8930e036227ffff,수리·개인,2
8930e036227ffff,시설관리·임대,1
8930e036227ffff,음식,7
8930e03622bffff,과학·기술,8
8930e03622bffff,보건의료,1
8930e03622bffff,소매,9
8930e03622bffff,수리·개인,4
8930e03622bffff,시설관리·임대,2
8930e03622bffff,음식,2
8930e036233ffff,과학·기술,6
8930e036233ffff,소매,10
8930e036233ffff,수리·개인,1
