hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency
창동역(서) 공영주차장(시),8930e1c2297ffff,창2동,Green,1600.4,1.6,31.820453643798828,35.124637603759766,3.3041839599609375,0.17680540214633925
창동역(서) 공영주차장(시),8930e1c2043ffff,창2동,Green,1097.1,1.1,31.820453643798828,40.18094253540039,8.360488891601562,0.17156532620284248
창동역(서) 공영주차장(시),8930e1c204fffff,창2동,Green,1147.5,1.15,31.820453643798828,40.675315856933594,8.854862213134766,0.16220465914888685
천왕역 공영주차장(시),8930e0add83ffff,오류2동,Green,520.0,0.52,29.58268165588379,33.241485595703125,3.658803939819336,0.20923631121911945
천왕역 공영주차장(시),8930e0add03ffff,오류2동,Green,1274.2,1.27,29.58268165588379,18.561399459838867,-11.021282196044922,0.1900874746546288
천왕역 공영주차장(시),8930e0addbbffff,오류2동,Yellow,725.3,0.73,29.58268165588379,13.924201965332031,-15.658479690551758,0.18814609073864214
천왕역 공영주차장(시),8930e0add8fffff,오류2동,Green,734.0,0.73,29.58268165588379,25.27753257751465,-4.305149078369141,0.18758951147147332
천왕역 공영주차장(시),8930e0add87ffff,오류2동,Yellow,446.9,0.45,29.58268165588379,25.193416595458984,-4.389265060424805,0.18587474537381665
면목유수지 공영주차장(시),8930e1c1c1bffff,면목4동,Yellow,765.7,0.77,15.940404891967773,49.15523147583008,33.214826583862305,0.2767140808333723
면목유수지 공영주차장(시),8930e1c0307ffff,망우본동,Green,2174.7,2.17,15.940404891967773,29.560585021972656,13.620180130004883,0.2220085050232387
면목유수지 공영주차장(시),8930e1c0ecbffff,망우본동,Green,2890.0,2.89,15.940404891967773,27.94281768798828,12.002412796020508,0.19215291661002837
면목유수지 공영주차장(시),8930e1c0337ffff,망우본동,Green,2645.7,2.65,15.940404891967773,29.351030349731445,13.410625457763672,0.18969244913980124
면목유수지 공영주차장(시),8930e1c0ecfffff,망우본동,Green,3138.3,3.14,15.940404891967773,35.014286041259766,19.073881149291992,0.18845593973481956
사당노외 공영주차장(시),8930e1cb547ffff,서초3동,Green,2241.6,2.24,30.836347579956055,50.74708938598633,19.910741806030273,0.30983520276324866
사당노외 공영주차장(시),8930e1cb50bffff,서초3동,Green,2351.0,2.35,30.836347579956055,39.63233947753906,8.795991897583008,0.3091600746779464
사당노외 공영주차장(시),8930e1cb557ffff,서초3동,Green,2084.9,2.08,30.836347579956055,43.919830322265625,13.08348274230957,0.30870168045231877
사당노외 공영주차장(시),8930e1cb543ffff,서초3동,Green,1982.3,1.98,30.836347579956055,56.66976547241211,25.833417892456055,0.30710000449580616
사당노외 공영주차장(시),8930e1cb573ffff,서초3동,Green,2502.7,2.5,30.836347579956055,45.7783317565918,14.941984176635742,0.3065337081308365
