h3_index,CSV_ADMI_CD,ADM_NM,GU_NM,avg_total_pop,daytime_pop,evening_pop,night_pop,peak_hour,peak_hour_pop,young_active_pop,h3_cells_in_dong,estimated_h3_pop,estimated_h3_daytime_pop,estimated_h3_evening_pop,estimated_h3_night_pop,pop_density_index,daytime_pop_index,evening_pop_index,night_pop_index,young_active_pop_index
8930e1da88fffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da87bffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1daabbffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da867ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da82bffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da81bffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da817ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da803ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da8d7ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da8c3ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da873ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da84bffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da80fffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1daa87ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
