H3_ID,생활인구합계,FNB_Count,Parking_Count,Total_Spaces,RainPump_Count,Storage_Hub_Score,Elevation_Diff,Park_Count,Hiking_Count,Univ_Count,Delivery_HardToReach_Score,Apt_Count,Total_Households,Apt_Parking,OpenSpace_Count,Max_Building_Height,Avg_Building_Height,Building_Count,Optimal_Triangulation_Score,Is_Restricted,Is_Prohibited,Scen_1_No_Restrict,Scen_2_Only_Prohibited,Scen_3_All_Restricted
8930e1db36fffff,44.2893.9342.791.5241.5190.2141.0789.4542.3389.6747.9391.0955.6996.2187.78109.16173.02150.248.11203.09277.87221.72291.25230.03298.88231.99304.24235.28305.15237.59300.36236.37287.68230.2269.1221.22222.3200.82159.03166.47121.33144.3493.06128.6270.36115.0455.81104.58,0.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,0.0,0.0,0,12.581745179756176,0,0,True,True,True
8930e1db377ffff,6.9102.866.67100.176.4998.756.4397.956.6398.177.599.738.7105.3213.72119.5227.03164.2538.75222.3643.43242.7445.51251.8346.68254.47.53257.6147.68260.1246.93258.844.93252.0742.05242.2134.75219.8524.85182.2518.94158.0414.54140.810.98125.948.71114.52,0.0,0.0,0.0,0,6.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2,0.0,0.0,0,12.36821305959449,0,0,True,True,True
8930e1db37bffff,1854.25287.611855.49278.881901.15277.251904.44269.561926.39270.451949.15278.281897.6332.511887.57476.62246.311175.482502.282449.422438.362813.482405.212947.662269.272914.42303.652998.962251.393000.822232.572968.42064.792915.282054.562770.081839.232176.481751.111309.461685.35825.091758.7644.91871.478.51854.72357.15,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62.0,60.0,2,14.897094475043648,0,0,True,True,True
8930e1db383ffff,*******4.125.767.58.078.438.638.678.638.558.327.987.185.855.024.484.06*,0.0,0.0,0.0,0,6.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2,0.0,0.0,0,10.114777589421495,0,0,True,True,True
8930e1db38bffff,*********4.114.514.664.674.764.814.794.694.494.05*****,0.0,0.0,0.0,0,12.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4,0.0,0.0,0,11.591849285947815,0,0,True,True,True
8930e1db38fffff,132.49139.34133.11133.95139.8125.72132.82154.85169.79177.58198.45209.73314.6329.92399.72326.98318.1250.27246.17241.1199.79205.26215.13168.4,1.0,0.0,0.0,0,6.0,10.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,2,0.0,0.0,0,11.187158211529521,0,0,True,True,True
8930e1db3a3ffff,13.6194.9613.6190.413.6186.3513.6184.328.5282.49.7183.2419.886.7215.9594.6137.44117.7133.03153.8449.97184.6144.21199.1141.96213.4148.05217.9132.25221.2130.56222.8414.74220.933.27221.0437.93222.0741.47212.5117.6194.495.67170.4926.58141.5717.5121.94,0.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,0.0,0.0,0,14.420574972682967,0,0,True,True,True
8930e1db3a7ffff,***6.587.7715.3521.2541.9257.4732.6467.2351.8162.9646.5160.3468.2373.6984.2157.9349.957.7146.4730.927.3,0.0,0.0,0.0,0,12.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,4,0.0,0.0,0,18.20645813559404,0,0,True,True,True
8930e1db3afffff,615.52623.25608.28597.86597.45596.81606.44604.51752.18773.12866.7868.79895.8873.29881.854.88852.58796.09830.98859.84787.89731.38676.14683.16,0.0,0.0,0.0,0,6.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2,0.0,0.0,0,12.24993842422622,0,0,True,True,True
8930e1db3b3ffff,7.6.676.386.246.096.156.396.988.6811.3413.614.6915.7316.0516.316.4116.2616.2816.3615.6814.3512.5910.439.,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,13.971996384247317,0,0,True,True,True
